T861	SQL/JSON simplified accessor: case-sensitive JSON member accessor			NO	\N	
T862	SQL/JSON simplified accessor: wildcard member accessor			NO	\N	
T863	SQL/JSON simplified accessor: single-quoted string literal as member accessor			NO	\N	
T864	SQL/JSON simplified accessor			NO	\N	
T865	SQL/JSON item method: bigint()			YES	\N	
T866	SQL/JSON item method: boolean()			YES	\N	
T867	SQL/JSON item method: date()			YES	\N	
T868	SQL/JSON item method: decimal()			YES	\N	
T869	SQL/JSON item method: decimal() with precision and scale			YES	\N	
T870	SQL/JSON item method: integer()			YES	\N	
T871	SQL/JSON item method: number()			YES	\N	
T872	SQL/JSON item method: string()			YES	\N	
T873	SQL/JSON item method: time()			YES	\N	
T874	SQL/JSON item method: time_tz()			YES	\N	
T875	SQL/JSON item method: time precision			YES	\N	
T876	SQL/JSON item method: timestamp()			YES	\N	
T877	SQL/JSON item method: timestamp_tz()			YES	\N	
T878	SQL/JSON item method: timestamp precision			YES	\N	
T879	JSON in equality operations			YES	\N	with jsonb
T880	JSON in grouping operations			YES	\N	with jsonb
T881	JSON in ordering operations			NO	\N	with jsonb, partially supported
T882	JSON in multiset element grouping operations			NO	\N	
M001	Datalinks			NO	\N	
M002	Datalinks via SQL/CLI			NO	\N	
M003	Datalinks via Embedded SQL			NO	\N	
M004	Foreign data support			NO	\N	partially supported
M005	Foreign schema support			NO	\N	
M006	GetSQLString routine			NO	\N	
M007	TransmitRequest			NO	\N	
M009	GetOpts and GetStatistics routines			NO	\N	
M010	Foreign-data wrapper support			NO	\N	different API
M011	Datalinks via Ada			NO	\N	
M012	Datalinks via C			NO	\N	
M013	Datalinks via COBOL			NO	\N	
M014	Datalinks via Fortran			NO	\N	
M015	Datalinks via M			NO	\N	
M016	Datalinks via Pascal			NO	\N	
M017	Datalinks via PL/I			NO	\N	
M018	Foreign-data wrapper interface routines in Ada			NO	\N	
M019	Foreign-data wrapper interface routines in C			NO	\N	different API
M020	Foreign-data wrapper interface routines in COBOL			NO	\N	
M021	Foreign-data wrapper interface routines in Fortran			NO	\N	
M022	Foreign-data wrapper interface routines in MUMPS			NO	\N	
M023	Foreign-data wrapper interface routines in Pascal			NO	\N	
M024	Foreign-data wrapper interface routines in PL/I			NO	\N	
M030	SQL-server foreign data support			NO	\N	
M031	Foreign-data wrapper general routines			NO	\N	
X010	XML type			YES	\N	
X011	Arrays of XML type			YES	\N	
X012	Multisets of XML type			NO	\N	
X013	Distinct types of XML type			NO	\N	
X014	Attributes of XML type			YES	\N	
X015	Fields of XML type			NO	\N	
X016	Persistent XML values			YES	\N	
X020	XMLConcat			YES	\N	
X025	XMLCast			NO	\N	
X030	XMLDocument			NO	\N	
X031	XMLElement			YES	\N	
X032	XMLForest			YES	\N	
X034	XMLAgg			YES	\N	
X035	XMLAgg: ORDER BY option			YES	\N	
X036	XMLComment			YES	\N	
X037	XMLPI			YES	\N	
X038	XMLText			YES	\N	supported except for RETURNING
X040	Basic table mapping			YES	\N	
X041	Basic table mapping: null absent			YES	\N	
X042	Basic table mapping: null as nil			YES	\N	
X043	Basic table mapping: table as forest			YES	\N	
X044	Basic table mapping: table as element			YES	\N	
X045	Basic table mapping: with target namespace			YES	\N	
X046	Basic table mapping: data mapping			YES	\N	
X047	Basic table mapping: metadata mapping			YES	\N	
X048	Basic table mapping: base64 encoding of binary strings			YES	\N	
X049	Basic table mapping: hex encoding of binary strings			YES	\N	
X050	Advanced table mapping			YES	\N	
X051	Advanced table mapping: null absent			YES	\N	
X052	Advanced table mapping: null as nil			YES	\N	
X053	Advanced table mapping: table as forest			YES	\N	
X054	Advanced table mapping: table as element			YES	\N	
X055	Advanced table mapping: with target namespace			YES	\N	
X056	Advanced table mapping: data mapping			YES	\N	
X057	Advanced table mapping: metadata mapping			YES	\N	
X058	Advanced table mapping: base64 encoding of binary strings			YES	\N	
X059	Advanced table mapping: hex encoding of binary strings			YES	\N	
X060	XMLParse: character string input and CONTENT option			YES	\N	
X061	XMLParse: character string input and DOCUMENT option			YES	\N	
X065	XMLParse: binary string input and CONTENT option			NO	\N	
X066	XMLParse: binary string input and DOCUMENT option			NO	\N	
X068	XMLSerialize: BOM			NO	\N	
X069	XMLSerialize: INDENT			YES	\N	
X070	XMLSerialize: character string serialization and CONTENT option			YES	\N	
X071	XMLSerialize: character string serialization and DOCUMENT option			YES	\N	
X072	XMLSerialize: character string serialization			YES	\N	
X073	XMLSerialize: binary string serialization and CONTENT option			NO	\N	
X074	XMLSerialize: binary string serialization and DOCUMENT option			NO	\N	
X075	XMLSerialize: binary string serialization			NO	\N	
X076	XMLSerialize: VERSION			NO	\N	
X077	XMLSerialize: explicit ENCODING option			NO	\N	
X078	XMLSerialize: explicit XML declaration			NO	\N	
X080	Namespaces in XML publishing			NO	\N	
X081	Query-level XML namespace declarations			NO	\N	
X082	XML namespace declarations in DML			NO	\N	
X083	XML namespace declarations in DDL			NO	\N	
X084	XML namespace declarations in compound statements			NO	\N	
X085	Predefined namespace prefixes			NO	\N	
X086	XML namespace declarations in XMLTable			NO	\N	
X090	XML document predicate			YES	\N	
X091	XML content predicate			NO	\N	
X096	XMLExists			NO	\N	XPath 1.0 only
X100	Host language support for XML: CONTENT option			NO	\N	
X101	Host language support for XML: DOCUMENT option			NO	\N	
X110	Host language support for XML: VARCHAR mapping			NO	\N	
X111	Host language support for XML: CLOB mapping			NO	\N	
X112	Host language support for XML: BLOB mapping			NO	\N	
X113	Host language support for XML: STRIP WHITESPACE option			NO	\N	
X114	Host language support for XML: PRESERVE WHITESPACE option			NO	\N	
X120	XML parameters in SQL routines			YES	\N	
X121	XML parameters in external routines			YES	\N	
X131	Query-level XMLBINARY clause			NO	\N	
X132	XMLBINARY clause in DML			NO	\N	
X133	XMLBINARY clause in DDL			NO	\N	
X134	XMLBINARY clause in compound statements			NO	\N	
X135	XMLBINARY clause in subqueries			NO	\N	
X141	IS VALID predicate: data-driven case			NO	\N	
X142	IS VALID predicate: ACCORDING TO clause			NO	\N	
X143	IS VALID predicate: ELEMENT clause			NO	\N	
X144	IS VALID predicate: schema location			NO	\N	
X145	IS VALID predicate outside check constraints			NO	\N	
X151	IS VALID predicate: with DOCUMENT option			NO	\N	
X152	IS VALID predicate: with CONTENT option			NO	\N	
X153	IS VALID predicate: with SEQUENCE option			NO	\N	
X155	IS VALID predicate: NAMESPACE without ELEMENT clause			NO	\N	
X157	IS VALID predicate: NO NAMESPACE with ELEMENT clause			NO	\N	
X160	Basic Information Schema for registered XML schemas			NO	\N	
X161	Advanced Information Schema for registered XML schemas			NO	\N	
X170	XML null handling options			NO	\N	
X171	NIL ON NO CONTENT option			NO	\N	
X181	XML(DOCUMENT(UNTYPED)) type			NO	\N	
X182	XML(DOCUMENT(ANY)) type			NO	\N	
X190	XML(SEQUENCE) type			NO	\N	
X191	XML(DOCUMENT(XMLSCHEMA)) type			NO	\N	
X192	XML(CONTENT(XMLSCHEMA)) type			NO	\N	
X200	XMLQuery			NO	\N	
X201	XMLQuery: RETURNING CONTENT			NO	\N	
X202	XMLQuery: RETURNING SEQUENCE			NO	\N	
X203	XMLQuery: passing a context item			NO	\N	
X204	XMLQuery: initializing an XQuery variable			NO	\N	
X205	XMLQuery: EMPTY ON EMPTY option			NO	\N	
X206	XMLQuery: NULL ON EMPTY option			NO	\N	
X211	XML 1.1 support			NO	\N	
X221	XML passing mechanism BY VALUE			YES	\N	
X222	XML passing mechanism BY REF			NO	\N	parser accepts BY REF but ignores it; passing is always BY VALUE
X231	XML(CONTENT(UNTYPED)) type			NO	\N	
X232	XML(CONTENT(ANY)) type			NO	\N	
X241	RETURNING CONTENT in XML publishing			NO	\N	
X242	RETURNING SEQUENCE in XML publishing			NO	\N	
X251	Persistent XML values of XML(DOCUMENT(UNTYPED)) type			NO	\N	
X252	Persistent XML values of XML(DOCUMENT(ANY)) type			NO	\N	
X253	Persistent XML values of XML(CONTENT(UNTYPED)) type			NO	\N	
X254	Persistent XML values of XML(CONTENT(ANY)) type			NO	\N	
X255	Persistent XML values of XML(SEQUENCE) type			NO	\N	
X256	Persistent XML values of XML(DOCUMENT(XMLSCHEMA)) type			NO	\N	
X257	Persistent XML values of XML(CONTENT(XMLSCHEMA)) type			NO	\N	
X260	XML type: ELEMENT clause			NO	\N	
X261	XML type: NAMESPACE without ELEMENT clause			NO	\N	
X263	XML type: NO NAMESPACE with ELEMENT clause			NO	\N	
X264	XML type: schema location			NO	\N	
X271	XMLValidate: data-driven case			NO	\N	
X272	XMLValidate: ACCORDING TO clause			NO	\N	
X273	XMLValidate: ELEMENT clause			NO	\N	
X274	XMLValidate: schema location			NO	\N	
X281	XMLValidate with DOCUMENT option			NO	\N	
X282	XMLValidate with CONTENT option			NO	\N	
X283	XMLValidate with SEQUENCE option			NO	\N	
X284	XMLValidate: NAMESPACE without ELEMENT clause			NO	\N	
X286	XMLValidate: NO NAMESPACE with ELEMENT clause			NO	\N	
X300	XMLTable			NO	\N	XPath 1.0 only
X301	XMLTable: derived column list option			YES	\N	
X302	XMLTable: ordinality column option			YES	\N	
X303	XMLTable: column default option			YES	\N	
X304	XMLTable: passing a context item			YES	\N	must be XML DOCUMENT
X305	XMLTable: initializing an XQuery variable			NO	\N	
X400	Name and identifier mapping			YES	\N	
X410	Alter column data type: XML type			YES	\N	
