# Parity goldens — the cutover's oracle; see goldens_test.go.
# Regenerate: GOOPG_UPDATE_GOLDENS=1 go test ./internal/sqlparser/
# 742 statements
ABORT	RollbackStmt{}
ALTER TABLE t ALTER COLUMN a DROP NOT NULL	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=24,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a RESET (n_distinct)	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=14,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=["n_distinct"],With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a RESTART WITH 5	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=3,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET (n_distinct = 1)	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=13,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=["n_distinct=1"],With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET COMPRESSION pglz	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=20,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="pglz",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET DEFAULT 1	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=21,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=IntegerConst{Value=1},UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET DEFAULT 5	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=21,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=IntegerConst{Value=5},UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET GENERATED ALWAYS	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=3,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET GENERATED BY DEFAULT SET INCREMENT BY 2	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=3,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
ALTER TABLE t ALTER COLUMN a SET NOT NULL	AlterTableStmt{IfExists=false,Name=ObjectName{Schema="",Name="t"},Actions=[AlterTableAction{Kind=23,ConstraintName="",Columns=∅,IncludeColumns=∅,Column=ColumnDef{Name="",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,Deferrable=false,InitiallyDeferred=false,NullsNotDistinct=false,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,NotValid=false,MatchFull=false,FKNotEnforced=false,AttachPartitionOf=∅,Restrict=false,NewName="",OldColumnName="",OldConstraintName="",InheritParent=ObjectName{Schema="",Name=""},OfType=ObjectName{Schema="",Name=""},CheckExpr="",CheckNotEnforced=false,NewType=ColumnType{Schema="",Name="",Args=∅,IsArray=false},ColumnName="a",StorageType="",CompressionType="",ReplicaIdentityMode="",ReplicaIdentityIndex="",ClusterIndexName="",TablespaceName="",AccessMethodName="",DefaultExpr=∅,UsingExpr=∅,SetOptions=∅,With=<map>,NoInherit=false,IfExists=false,ChildIndexName="",DetachPartitionChild=ObjectName{Schema="",Name=""},DetachConcurrently=false,RuleName="",RuleEnabledState=0,FDWOptionChanges=∅,ExclusionOp="",ExclusionMethod="",ExclusionWhere=∅,AlterConstraintDeferrable=false,AlterConstraintInitiallyDeferred=false,AlterConstraintHasDeferrability=false,AlterConstraintEnforced=false,AlterConstraintHasEnforceability=false,AlterConstraintNoInherit=false,AlterConstraintHasInheritability=false,UsingIndexName=""}],Only=false,SetSchema="",SetLogged="",EnableDisableTrigger=false,OwnerTo="",TagOverride=""}
